举	[jǔ] cite
例子	(lìzi) example; enumerate
强	(qiáng) capable; strong
害	(hài) cause trouble (for somebody)
重	(zhòng) heavy
不近人情	(bújìn rénqíng) disregarding others' feelings
人情	(rénqíng) relationship; human feelings
通人情	(tōngrénqíng) be passionate in dealing with people
干涉	(gānshè) interfere; intervene
尽	(jìn) try one's best
否则	(fǒuzé) otherwise; if not
好意	(hǎoyì) kindly; good intention
越过	(yuèguò) cross the line (be over one's bounds)
彼此	(bǐcǐ) each other
界线	(jièxiàn) dividing line; boundary
以内	(yǐnèi) within; less than
权利	(quánlì) right
关心	(guānxīn) be concerned (about something)
思维方式	(sīwéifāngshì) thought; mode of thinking
不以为然	(bùyǐwéirán) consider (something) to not be so
据	(jù) according to
自相矛盾	(zì xiāng máodùn) self-contradictory
矛盾	(máodùn) contradictory (or contradiction)
具体	(jùtǐ) definite; specific
待	(dāi) stay
重视	(zhòngzhì) value; take seriously
尊重	(zūnzhòng) respect
隐私	(yǐnsī) privacy
权	(quán) -right
表姐	(biǎojiě) older female cousin
管教	(guǎnjiào) discipline; correct (undesirable behavior)
邻居	(línjū) neighbor
报警	(bàojǐng) report to the police
警察局	(jǐngchájú) police department
隔离	(gélí) isolate; keep apart
归	(guī) go back to; return
残酷	(cánkù) cruel
不打不成材	(bù dǎbù chéngcái) Spare the rod and spoil the child
成材	(chéngcái) become a useful person
私有	(sīyǒu) privately owned; private
财产	(cái chǎn) property
人家	(rén jiā) another person; other people
公有	(gōngyǒu) publicly owned; public
保护	(bǎohù) protection; protect
儿童	(értóng) children
法律	(fǎlǜ) law
违法	(wéifǎ) violate the law; be against the law
制裁	(zhìcái) sanction; punish
绝对	(juéduì) absolutely; definitely
