寂寞	(jìmò) lonely
东北	(dōngběi) Northeastern China
所	(suǒ) MW for houses, institutions (etc.)
万	(wàn) 10k
名	(míng) MW for people
项	(xiàng) MW for items, clauses
心理	(xīnlǐ) psychology
测试	(cèshì) test; testing; measurement
显示	(xiǎnshì) reveal; display; show
程度	(chéngdù) degree; extent
讨厌	(tǎoyàn) hate; disgust
离家出走	(líjiāchūzǒu) run away from home
专家	(zhuānjiā) expert
家庭	(jiātíng) family; household
原因	(yuányīn) reason; cause
投入	(tóurù) put into; invest in
大量	(dàliàng) a large number of
金钱	(jīnqián) money
精力	(jīnglì) energy; vigor
忽视	(hūshì) overlook; neglect; ignore
需要	(xūyào) need to
关于	(guānyú) about; concerning; regarding
令人	(lìngrén) make people feel
担忧	(dānyōu) worry; be anxious or concerned
肥胖	(féipàng) fat; corpulent; obese
负担	(fùdàn) burden; load
过	(guò) excessively; over
重	(zhòng) heavy
体育	(tǐyù) sports
劳动	(láodòng) physical labor
态度	(tàidu) attitude
近年来	(jìn nián lái) in recent years
由于	(yóuyú) owing to; due to
升学	(shēng xué) advance to a higher school
压力	(yālì) pressuré
培养	(péiyǎng) train; cultivate
独生子女	(dú shēng zǐ nǚ) the only child
家务	(jiāwù) household chores; housework
和睦	(hémù) harmonious
离婚	(líhūn) divorce
挤进	(jǐjìn) squeeze in; push one's way in; join eagerly (good connotation)
中产阶级	(zhōngchǎn jiē jí) middle class
只顾	(zhǐ gù) be preoccupied solely with
竞争	(jìngzhēng) compete
激烈	(jīliè) intense; fierce
拼命	(pīnmìng) do something desperately; with all one's might
尽可能	(jǐn kěnéng) as far as possible; to the best of one's ability
留出	(liúchū) set apart (set aside)
有益于	(yǒu yìyú) be good for; do good to; benefit
一生	(yì shēng) all one's life; throughout one's life
