初	(chū) beginning (of year / month)
底	(dǐ) end (of year / month)
高校	(gāoxiào) further education (schooling beyond secondary school)
放	(fàng) to release; to dismiss
暑假	(shǔjià) summer break
过	(guò) to spend (holidays / breaks / birthdays etc.)
因人而异	(yīnrén éryì) vary with each individual
根据	(gēnjù) based on
调查	(diàochá) survey; investigate
外地	(wàidì) non-local places
独立	(dúlì) independent; independence
寒假	(hánjià) winter break
绝大多数	(juě dà duō shù) an overwhelming majority
仍然	(réngrán) still
利用	(lìyòng) use; utilize; make use of
聚	(jù) to gather
然而	(rán'ér) however; nevertheless
参加	(cānjiā) participate
社会实践	(shèhuìshíjiàn) extracurricular activities (show students how the real world works)
实践	(shíjiàn) put theory into practice
活动	(huódòng) activity
考研	(kǎoyán) to take the exams for graduate study
出国	(chūguó) go abroad
打工	(dǎgōng) to work for others (usually temporarily)
在...期间	(zài...qījiān) during the period of
组织	(züzhī) to organize; organization
落后	(luòhòu) lag behind (economically underdeveloped)
专业	(zhuānyè) major; specialized
知识	(zhīshí) knowledge
通过	(tōngguò) through
第一位	(dìyīwèi) the top (of a list)
考托	(kǎotuō) take TOEFL
考G	(kǎo G) take GRE
辅导班	(fǔdǎobān) tutorial class
研究生	(yánjiūshēng) graduate student
吸引	(xīyǐn) attract
由此可见	(yóucǐkějiàn) from this (one) can see
得到	(dédào) to get (education / help etc.)
教育	(jiàoyù) education; to educate
当代	(dāngdài) contemporary
追求	(zhuīqiú) to pursue; pursuit
目标	(mùbiāo) goal; objective
此外	(cìwài) in addition; morever
解决	(jiějué) to solve (a problem)
家教	(jiājiào) private tutor
翻译	(fānyì) to translate; translation
平均	(píngjūn) on average; average
收入	(shōurù) income
相当	(xiāngdāng) quite; considerably
铮	(zhèng) to earn
零花钱	(línghuāqián) pocket money
丰富	(fēngfù) enrich
经验	(jīngyàn) experience
人际	(rénjì) interpersonal
交往	(jiāowǎng) contact; association
能力	(nénglì) capability
总的来说	(zǒngde láishuō) by and large; on the whole
可以说	(kěyǐ shuō) one may say that
