北京	(běijīng) Beijing
飞机	(fēijī) airplane
准时	(zhǔnshí) punctually; on time;
降落	(jiàng.luò) land; descend;
首都	(shǒudū) capital
国际	(guójì) international
机场	(jīchǎng) airport
外事处	(wàishìchù) foreign affairs office
派	(pài) dispatch; send
张	(Zhāng) Zhang (a surname)
先生	(xiān.sheng) Mr.
接	(jiē) meet; welcome; fetch
通过	(tōngguò) pass; passthrough; go through
海关	(hǎiguān) customs
担心	(dānxīn) worry; feel anxious
带	(dài) take; bring; carry
花花公子	(Huāhuā gōngzǐ) "Playboy"
据说	(jùshuō) it is said; they say
对	(duì) about; toward; on; to
类	(lèi) type; category
杂志	(zázhì) magazine
查	(chá) check; inspect
严	(yán) strict; severe; stern
好在	(hǎozài) luckily; fortunately
根本	(gēnběn) utterly; completely; at all (always used in negative sentences)
打开	(dǎ//kāi) open
行李	(xíng.li) luggage; baggage
让	(ràng) let; allow
后来	(hòulái) afterwards
坐上	(zuò//.shàng) get on (a vehicle)
部	(bù) MW for cars or movies
大巴	(dàbā) large bus
开	(kāi) drive (a car)
差不多	(chà.bu duō) around; about (a certain number)
印象	(yìnxiàng) impression
检查	(jiǎnchá) check; examine; inspect; inspection
松	(sōng) loose; slack
城里	(chénglǐ) within the city; downtown
高速公路	(gāosù gōnglù) expressway; freeway
宽	(kuān) wide; broad
平	(píng) flat; smooth; level;
现代化	(xiàndàihuà) modern; modernization
想象	(xiǎngxiàng) imagine; imagination
古老	(gǔlǎo) ancient; age-old
兴奋	(xīngfèn) excited
宿舍	(sùshè) dormitory
舒服	(shū.fu) comfortable
不过	(búguò) but; however
时差	(shíchā) jet lag; time difference
关系	(guān.xi) relevance, relationships (used with 因为 to indicate cause or reason)
一直	(yìzhí) all the way; all along; continuously
睡着	(shuì//zháo) fall asleep
