温饱	(wēnbǎo) adequately fed and clothed
小康	(xiǎokāng) comparatively well off
饱	(bǎo) full (from eating)
暖	(nuǎn) warm
以上	(yǐshàng) above (a given point or line)
富裕	(fùyù) rich; affluent
明显	(míngxiǎn) evident; obvious
消费	(xiāofèi) consumption
花费	(huāfèi) expenses; cost
费用	(fēi.yong) expenses; cost; fees
部分	(bù.fen) a portion
味道	(wèi.dao) taste; flavor
消耗	(xiāohào) consume; expend; exhaust
分量	(fèn.liàng) amount
蔬菜	(shūcài) vegetable
一般	(yìbān) general; consume
四大件儿	(sìdàjiànr) the four big things
所谓	(suǒwèi) so called
缝纫机	(féngrènjī) sewing machine
手表	(shǒubiǎo) watch
收音机	(shōuyīnjī) radio
拥有	(yōngyǒu) own; possess
日用品	(rìyòngpǐn) daily necessities
达到	(dádào) achieve (a goal)
冰箱	(bīngxiāng) fridge
音响	(yīnxiǎng) stereo
取代	(qǔdài) replace
早已	(zǎoyǐ) already (v-ed) long ago
住房	(zhùfáng) housing
紧张	(jǐnzhāng) tight; tense; high demand
采取	(cǎiqǔ) adopt
措施	(cuòshī) measure; step (political; economical)
商品房	(shāngpǐnfáng) commercialized housing
上市	(shàng//shì) go on the market
买卖	(mǎimài) buy and sell; trade
确实	(quèshí) really; indeed
解决	(jiějué) solve
得到	(dédào) succeed in obtaining
由	(yóu) from (从)
过度	(guòdù) excessively; over
过上	(guò//.shang) be able to have (a high standard of living)
