早起	(zǎoqǐ) get up early
洗澡	(xǐ//zǎo) have a bath; bathe
开始	(kāishǐ) start; begin
习惯	(xíguàn) be accustomed
上	(shàng) go to; be engaged (in work, study, etc.)
从来没 v. 过	(cónglái méi v. guò) have never V-ed before
迟到	(chídào) be late (for appointment)
更	(gèng) even more; still more
不用说	(búyòngshuō) not to mention; needless to say
晚睡	(wǎnshuì) go to bed late
困难	(kùnnán) difficult; difficulty
早晨	(zǎo.chen) morning
头脑	(tóunǎo) brains; mind
清楚	(qīng.chu) clear
可	(kě) but
刚	(gāng) just
需要	(xūyào) need; want; require
咖啡	(kāfēi) coffee
醒	(xǐng) wake up; sober up
懂	(dǒng) understand; comprehend; know
身体	(shēntǐ) body; health
却	(què) but; yet; however
整天	(zhěngtiān) the whole day; all day long
...的要命	(.de yàomìng) awfully; extremely
除了...以外	(chū.le ... yǐwài) except for; aside from
发现	(fāxiàn) find; discover
一般来说	(yìbān lái shuō) generally speaking
经常	(jīngcháng) often; frequently
多半儿	(duōbànr) mostly
提供	(tígōng) offer; provide; supply
本来	(běnlái) originally; at first
总视	(zǒngshì) always
不得不	(bùdébù) have no choice but to; have to
改	(gǎi) change; alter; correct
成	(chéng) into; become
干净	(gānjìng) clean; neat and tidy
认为	(rènwéi) think; consider; hold
以为	(yǐwéi) mistakenly think
事情	(shì.qing) thing
一定	(yídìng) definitely; definite
学会	(xué//huì) learn
另	(lìng) the other; another
角度	(jiǎodù) angle; point of view
外国	(wàiguó) foreign country
好处	(hǎo.chu) benefit; gain; profit; advantage
