银行	(yínháng) bank
出租汽车	(chūzū qìchē) taxi
司机	(sījī) driver title
师傅	(shī.fu) addressing a driver
王府井	(Wángfǔjǐng) bj business area
二环	(Èrhuán) Second Ring Road
堵	(dǔ) block up; stop up
厉害	(lì.hai) terribly; severe
堵车	(dǔ//chē) have a traffic jam
急	(jí) worry; make anxious; make impatient
死人	(sǐrén) extremely; to death
糟糕	(zāogāo) how terrible; what bad luck; too bad
连都	(lián dōu) even
不如	(bùrú) not equal to; not as good as
骑	(qí) ride (animal or bicycle)
自行车	(zìxíngchē) bicycle
私家车	(sījiāchē) private car
道路	(dàolù) road; way
发展	(fāzhǎn) develop, -ment;
赶不上	(gǎn.bu shàng) cannot catch up with
增加	(zēngjiā) add; increase; raise
交通	(jiāotōng) traffic
堵塞	(dǔsè) block up; stop up
交通堵塞	（jiāotōng dǔsè) traffic jam
严重	(yánzhòng) serious (illness / situation)
走路	(zǒu//lù) walk; go on foot
过	(guò) pass or spend time
关门	(guān//mén) close (stores / offices)
红绿灯	(hónglǜdēng) traffic light
下车	(xià//chē) get out of a car
麻烦	(má.fan) bother; trouble someone
发票	(fāpiào) bill; receipt
人民币	(rénmínbì) RMB
职员	(zhíyuán) office worker; staff member
楼	(lóu) story; floor; multi-storied building
美元	(měiyuán) USD
单子	(dān.zi) form; list
现金	(xiànjīn) cash
旅行	(lǚxíng) travel
支票	(zhīpiào) check
旅行支票	(lǚxíng zhīpiào) traveler's check
签字	(qiān//zì) sign
护照	(hùzhào) passport
点	(diǎn) check a number for correctness
