马路	(mǎlù) road; street; avenue
危险	(wēixiǎn) dangerous
门口儿	(ménkòur) gate; doorway; entrance
座	(zuò) MW for bridges, buildings, mountains (etc.)
过街天桥	(guòjiē tiānqiáo) (the overhead bridge of an) overpass
让	(ràng) give way; yield
当中	(dāngzhōng) in the middle
撞	(zhuāng) collide; bump against; run into
撞着	(zhuàng//zháo) collide; bump against; run into
照顾	(zhào.gú) give or show consideration to
时时	(shíshí) often; all the time
停	(tíng) stop
斑马线	(bānmǎxiàn) pedestrian crossing; cross-walk
起	(qǐ) rise; grow
作用	(zuòyòng) function; effect
起作用	(qǐ zuòyòng) be effective; have effect
起不了	(qǐ .bù liǎo) unable to rise
希望	（xīwàng) hope; wish
遵守	(zūnshǒu) abide by; observe
规则	(guīzé) regulation; rule
地下	(dìxià) underground; subterranean
通道	(tōngdào) passageway
打牌	(dǎ//pái) play (a game of) cards
甚至	(shènzhì) even (to the extent that)
特殊	(tèshū) special
街景	(jiējǐng) street scene
特有	(tèyǒu) specific; characteristic
秩序	(zhìxù) order
情况	(qíngkuàng) situation
乱中有序	(luàn zhōng yǒu xù) finding order in chaos
