高考	(gāokǎo) Chinese college entrance exam
举行	(jǔxíng) hold (meeting, ceremony)
入学	(rùxué) start or enter school
考试	(kǎoshì) test; examination
决定	(juédìng) determine
专业	(zhuānyè) special field of study; major
整个儿	(zhěnggèr) whole; entire
教育	(jiàoyù) education
准备	(zhǔnbèi) preparation;
兴趣	(xìngqù) interest
固然	(gùrán) it is true that; no doubt
负面	(fùmiàn) negative
死记硬背	(sǐjì yìngbèi) rote memorizing
缺乏	(quēfá) lack; be short of
分析	(fēnxī) analyze; analysis
训练	(xùnliàn) training; train
体现	(tǐxiàn) embody; reflect; give expression to
公平	(gōngpíng) fair; just
长大	(zhǎngdà) grow up; be brought up
通过	(tōngguò) pass; be successful (in a test)
北京大学	(běijīng dàxué) Peking University
关系	(guān.xi) connections; relationships
后门儿	(hòuménr) back door
走后门儿	(zǒuhòuménr) get in by the back door; secure advantages through pull or influence
能力	(nénglì) ability; capability
在...看来	(zài...kànlái) in one's opinion
优点	(yōudiǎn) good point; merit; strength
缺点	(quēdiǎn) shortcoming; defect; weakness
批评	(pīpíng) criticize
过分	(guòfèn) excessively; (over-)
强调	(qiángdiào) emphasize; stress
记忆	(jìyì) memory
重视	(zhòngshì) think highly of; value
道理	(dào.li) reason; sense
有道理	(yǒu dào.li) reasonable
表现	(biǎoxiàn) performance (in school, work etc.)
