脱	(tuō) take off; cast off
裤子	(kù.zi) pants
放屁	(fàngpì) pass gas; fart
生动	(shēngdòng) lively; vivid
俗话	(súhuà) common saying; proverb
成语	(chéngyû) a set phrase; idiom
歇后语	(xiēhòuyû) a two-part allegorical saying
用语	(yòngyû) wording; choice of words
使用	(shîyòng) use; make use of; apply
语言	(yûyán) language
并存	(bìngcún) exist simultaneously
古今并存	(gû jīn bìngcún) the ancient and current exist simultaneously
多余	(duōyú) unnecessary; surplus
高雅	(gāoyâ) refined; elegant
画蛇添足	(huàshé tiānzú) draw a snake and add feet to it
理解	(lîjiê) understand; comprehend
谜语	(míyû) riddle; conundrum
忘记	(wàngjì) forget
譬如	(pìrú) for example; such as
拿	(ná) seize; capture
耗子	(hào.zi) mouse; rat
多管闲事	(duō guân xiánshì) poke one's nose into other's business
捉	(zhuō) catch; capture
猫	(māo) cat
责任	(zérèn) responsibility
除非	(chúfēi) only if; only when; unless
熟	(shú) familiar
要不然	(yào.burán) otherwise; or else
闹笑话	(nào xiào.huà) make a fool of oneself
