点菜	{diǎn//cài} order dishes (in a restaurant)
差不多	(chà .bu duō) about the same; similar
省	(shěng) province
川	(chuān) Sichuan Province (四川)
湘	(xiāng) Hunan Province (long form: 湖南)
辣	(là) peppery; hot
江	(jiāng) Jiangsu Province (江苏)
浙	(zhè) Zhejiang Province (浙江)
甜	(tián) sweet
饮食	(yǐnshí) drinking and eating
北方人	(běifāngrén) Northener
面食	(miànshí) wheat-based food
主食	（zhǔshí) staple food
馒头	(mán.tou) steamed bun
包子	(bāo.zi) steamed stuffed bun
饺子	(jiǎo.zi) dumpling
面条	(miàntiáo) noodle
南方人	(nánfāngrén) Southerner
米饭	(mǐfàn) (cooked) rice
稀饭	(xīfàn) rice or millet gruel; porridge
粥	(zhōu) gruel; congee
吃不惯	(chī .bu guàn) cannot get used to eating
选择	(xuǎnzé) select; choose
招牌	(zhāo.pai) shop sign
湖南	(húnán) Hunan Province
广东	(guǎngdōng) Guangdong Province
粤	(yuè) (alternate name for) Hunan Province
山东	(shāndōng) Shandong Province
馆子	(guǎn.zi) (informal) restaurant
齐鲁	(qílǔ) (ancient name for) Shandong
记得	(jì.de) remember
省名	(shěngmíng) name of province
记住	(jì//.zhu) memorize
简称	(jiǎnchēng) the abbreviated form of a name
鸡	(jī) chicken
鸭	(yā) duck
鱼	(yú) fish
青菜	(qīngcài) vegetable
豆腐	(dòu.fu) bean curd; tofu
基本	(jīběn) basic; fundamental
方法	(fāngfǎ) way; method
煎	(jiān) fry in shallow oil
煮	(zhǔ) boil; cook
炒	(chǎo) stir-fry
炸	(zhá) fry in deep fat or oil; deep-fry
清蒸	(qīngzhēng) steam in clear soup (usually without soy sauce)
红烧	(hóngshāo) braise in soy sauce
什么的	(shén.me.de) and so on; and what not
道	(dào) MW for dishes
样	(yàng) kind; type
材料	(cáiliào) ingredient
动词	(dòngcí) verb
宾语	(bīnyǔ) object
结构	(jiégòu) structure
茄子	(qié.zi) eggplant
烤鸭	（kǎoyā) roast duck
清朝	(qīngchǎo) stir-fry without soy sauce
西兰花儿	(xīlánhuār) broccoli
如果	(rūguǒ) if; supposing that
名词	(míngcí) noun
冬笋	(dōngsǔn) bamboo shoot
肉丝	(ròusī) shredded meat (unless otherwise specified, this is pork)
腰果	(yāoguǒ) cashew
虾仁儿	(xiārénr) shelled fresh shrimp
蛋炒饭	(dànchǎofàn) egg fried rice
常见	(chángjiàn) often seen; common
芥兰	(jièlán) Chinese leaf mustard
明白	(míng.bai) clear; obvious; know; understand
实际	(shíjì) actually; in reality
八宝	(bābǎo) eight treasures (choice ingredients of certain dishes)
三鲜	(sānxiān) three kinds of fresh delicacies
全家福	(quánjiāfú) a hodgepodge dish (of lots of ingredients)
之类	(zhī lèi) and so on; and so forth; and the like
避免	(bìmiǎn) avoid; refrain from
