电话	(diànhuà) telephone; phone call
打电话	(dǎ diànhuà) make a phone call
一切	(yíqiè) all; every; everything
顺利	(shùnlì) smooth; successful
放心	(fàng//xīn) set one's mind at rest; feel relieved
单人间	(dānrénjiān) single room
双人间	(shuāngrénjiān) double room
同屋	(tóngwū) roommate
谈得来	(tán .de lái) get along well
天气	(tiānqì) weather
预报	(yùbào) forecast
夏天	(xiàtiān) summer
特别	(tèbié) especially; special
热	(rè) hot
空调	(kōngtiáo) air-conditioning
电视	(diànshì) TV
浴室	(yùshì) bathroom; washroom
条件	(tiáojiàn) condition
嘛	(.ma) modal particle
换	(huàn) change
毛巾	(máojīn) towel
整理	(zhěnglǐ) put in order; straighten up
床铺	(chuángpù) bedding
打扫	(dǎsǎo) sweep; clean
简直	(jiǎnzhí) simply; virtually
旅馆	(lǚguǎn) hotel
照顾	(zhào.gù) take care of; look after
惯坏	(guàn//huài) spoil
学习	(xuéxí) study
校园	(xiàoyuán) campus
安全	(ānquán) safe
听说	(tīngshuō) be told; hear of; hear
的很	(.dehěn) very
而且	(érqiě) and; as well (as); furthermore
饭馆儿	(fànguǎnr) restaurant
商店	(shāngdiàn) store; shop
留学生	(liúxuéshēng) foreign student
食堂	(shítáng) dining hall
离	(lí) be away from; from
近	(jìn) close; near
方便	(fāngbiàn) convenient
极了	(jíle) extremely; very
借口	(jièkǒu) excuse
您	(nín) polite you
努力	(nǔlì) with great effort
方面	(fāngmiàn) respect; aspect; side
得	(děi) must; have to
注意	(zhùyì) pay attention to
健康	(jiànkāng) health; physique
长途	(chángtú) long distance
