午觉	(wǔjiào) afternoon nap
白天	(báitiān) daytime; day
浪费	(làngfèi) waste; squander; extravagant
自己	(zìjǐ) oneself
精神	(jīng.sheng) vigor; vitality; spirit
有精神	(yǒu jīng.shen) vigorous
怪不得	(guài.bu.de) no wonder; so that's why
大多	(dàduō) for the most part; mostly
茶	(chá) tea
很少	(hěnshǎo) seldom
冰水	(bīngshuǐ) ice water
受罪	(shòu//zuì) endure hardships, tortures, rough condition; have a hard time
自来水	(zìláishuǐ) tap water
直接	(zhíjiē) directly
凉	(liáng) cold; cool
开水	(kāishuǐ) boiled water
容易	(róngyì) easy
矿泉水	(kuànquánshuǐ) mineral water
贵	(guì) expensive
最近	(zuìjìn) recently
学	(xué) imitate; mimic
热水瓶	(rèshuǐpíng) thermos bottle
有时	(yǒushí) sometimes; at times; now and then
泡茶	(pào//chá) make tea
没想到	(méi xiǎngdào) unexpectedly
各	(gè) each; every
原因	(yuányīn) reason; cause
坚持	(jiānchí) insist on; persist in
原来	(yuánlái) original; former
生活	(shēnghuó) life
方式	(fāngshì) pattern; fashion; way
向	(xiàng) from
当地	(dāngdì) local; in the locality
