同志	(tóngzhì) comrade
小姐	(xiǎo.jiě) miss
大约	(dàyuē) approximately; about
只要	(zhǐyào) as long as
称呼	(chēng.hu) call; address; a form of address
所有	(suǒyǒu) all
无论	(wúlùn) no matter what; regardless of
年轻	(niánqīng) young
认识	(rèn.shi) know; be familiar with
陌生	(mòshēng) strange; unfamiliar
分	(fēn) divide; separate; part
男女老少	(nánnǚlǎoshào) men and women, young and old
平等	(píngděng) equality
改革	(gǎigé) reform
开放	(kāifàng) open; liberalize
改革开放	(gǎigé kāifàng) the reform policy of China in the 1970s
渐渐	(jiànjiàn) gradually
成了	(chéng.le) has become; became
女士	(nǚshì) lady; madam
受	(shòu) receive
台湾	(táiwān) taiwan
香港	(xiānggǎng) hong kong
海外	(hǎiwài) overseas; abroad
影响	(yǐngxiǎng) influence; effect
丈夫	(zhàng.fu) husband
意思	(yì.si) meaning
老公	(lǎogōng) colloq. husband
老婆	(lǎo.po) colloq. wife
代替	(dàitì) replace; substitute for
太太	(tài.tai) wife; mrs
正式	(zhèngshì) formal; official; solemn
加	(jiā) add; put in
百货商场	(bǎihuò shāngchǎng) department store
售货员	(shòuhuòyuán) salesclerk; shop assistant
大陆	(dàlù) mainland
中国大陆	(zhōngguó dàlù) mainland china
词儿	(cí) word; term
几乎	(jīhū) almost; nearly; practically
另外	(lìngwài) in addition; moreover; besides
中年	(zhōngnián) middle-aged
往往	(wǎngwǎng) often; frequently
其实	(qíshí) actually; in fact
合适	(héshì) properly; proper; appropriate; suitable
特色	(tèsè) characteristic; distinguishing feature
表面上	(biǎomiàn.shàng) on the surface
表现	(biǎoxiàn) show; display
社会	(shèhuì) society
特点	(tèdiǎn) characteristic; trait
怀念	(huàiniàn) cherish the memory of; think fondly of
