火车	(huǒchē) train
生活	(shēnghuó) live
远处	(yuǎnchù) distant place
不到	(búdào) less than; not yet
居然	(jūrán) unexpectedly
承德	(chéngdé) Chengde in Hebei Province
参观	(cānguān) visit (a place); look around
避暑上妆	(bìshǔ shānzhuāng) Summer Residence Shanxi Province
山西	(shānxī) shanxi province
云岗石窟	(yúngǎngshíkū) Yungang Caves
硬座	(yìngzuò) hard seat (on a train)
软卧	(ruǎnwò) soft bunk (on a train)
路上	(lù.shang) on the way
特产	(tèchǎn) special local products
尝	(cháng) taste
风味儿	(fēngwèir) special flavor; local flavor
小吃	(xiǎochī) snack; refreshments
乘客	(chéngkè) passenger
交谈	(jiāotán) talk with each other; converse; chat
练习	(liànxí) practice; excercise
交	(jiāo) make (friends)
到为止	(dào...wéizhǐ) up to; until
目前	(mùqián) now; at present
国内	(guónèi) internal; domestic
主要	(zhǔyào) main
工具	(gōngjù) tool; instrument
机会	(jī.huì) opportunity; chance
观察	(guānchá) observe; watch; survey
