交往	(jiāo wǎng) association; relationship (have an association with)
通行证	(tōngxíng zhèng) pass; permit
帮忙	(bāngmáng) help (do a favor)
学期	(xuéqī) semester
结束	(jiéshù) end; conclude
杭州	(Hángzhōu) Hangzhou (capital of Zhejiang Province)
胜利	(shènglì) victory; success
校长	(xiàozhǎng) principal (of a primary school or univ.)
谈到	(tándào) speak about (mention)
讲起	(jiǎngqǐ) talk about
场	(chǎng) MW for games
讨论	(tǎolùn) discuss (discussion)
道	(dào) MW for question test assignment
数学	(shùxué) mathematics
题	(tí) question (in test or assignment)
排	(pái) row
竟	(jìng) unexpectedly (竟然)
愿意	(yuànyì) be willing to
马上	(mǎshàng) at once
交	(jiāo) hand over (hand in)
作业	(zuòyè) homework (school assignment)
情急之下	(qíngjí zhī xià) in a moment of desperation
失望	(shīwàng) disappointed
掏出	(tāochū) take out (fish or draw out)
毛	(máo) ten cents
女生	(nǚshēng) girl student; school girl
难题	(nántí) difficult question
解开	(jiěkāi) solve (math problem)
理所当然	(lǐ suǒ dāng rán) deservedly; as a matter of fact (be natural and right)
报酬	(bàochóu) reward; pay
得以	(déyì) proud of oneself (pleased with oneself)
今后	(jīnhòu) from now on
收钱	(shōu qián) charge; collect fees
传到	(chuándào) spread to
班主任	(bānzhǔrèn) head teacher of a class
耳朵	(èr.duo) ear
起先	(qǐxiān) at first; in the beginning
表现	(biǎoxiàn) performance
自私	(zìsī) selfish
事后	(shìhòu) after the event (afterwards)
判断	(pànduàn) judge
勉强	(miǎnqiǎng) reluctantly; unwillingly
还	(huán) return; give back;
此	(cǐ) this; this moment
然而	(rán'ér) however
家长会	(jiāzhǎnghuì) parents meeting
配合	(pèihé) work with; cooperate
注意	(zhùyì) pay attention (take notice of)
出人意料	(chūrén yìliào) come as a surprise (contrary to one's expectation; beyond all expectation)
反应	(fǎnyìng) response
截然不同	(jiérán bùtóng) completely different
行为	(xíngwéi) behavior
赞成	(zànchéng) approve of; be in favor of
称赞	(chēngzàn) praise; acclaim
聪明	(cōng.míng) smart
长大	(zhǎngdà) grow up
吃亏	(chī//kuī) suffer losses (be in an unfavorable situation)
小小年纪	(xiǎoxiǎo niánjì) at a very young age
交易	(jiāoyì) trade; deals (business)
唯利是图	(wéi lì shì tú) seek only profit (be intent on nothing but money)
心灵	(xīnlíng) heart; soul; (spirit)
洁白	(jiébái) spotlessly white
如	(rú) like; as (as if)
意识	(yì.shí) sense; awareness
天真	(tiānzhēng) innocent
发扬	(fāyáng) develop; promote (carry forward; carry on -- abstract noun)
搞	(gǎo) do; be engaged in
家教	(jiājiào) private tutoring
获得	(huòdé) obtain; gain
有好处	(yǒu hǎochù) be food for (benefits of)
风波	(fēngbō) disturbance (lit: "wind and wave")
实际上	(shíjìshàng) in fact; in reality
某	(mǒu) certain; some
机关	(jīguān) government work unit
金钱万能	(jīnqián wànnéng) money is omnipotent
观念	(guānniàn) sense; idea (concept)
总之	(zǒngzhī) in a word; in short
怪	(guài) blame
会议	(huìyì) meeting; conference
组织	(zǔzhī) organize; arrange
展开	(zhǎnkāi) launch; carry out
变成	(biànchéng) become; turn into
辩论	(biànlùn) debate; argument
相反	(xiāngfǎn) opposite; contrary
意见	(yìjiàn) idea; view; opinion
一方	(yìfāng) one side; one party
宝贵	(bǎoguì) valuable; precious
英雄	(yīngxióng) hero
救人	(jiù//ren) save life
肯	(kěn) be willing to
互相	(hùxiāng) mutally (each other; one another)
取代	(qǔdài) replace; substitute
则	(zé) however (only in written language)
寻物启事	(xúnwù qǐshì) lost and found notice
当面	(dāng//miàn) to someone's face (in somebody's presence
重谢	(zhòngxiè) present a grand reward
失物	(shīwù) lost items
主角	(zhǔjué) main character; leading role
出钱	(chū//qián) put forth money; offer money
爱理不理	(àilǐ bùlǐ) look cold and indifferent
明白	(míng.bai) understood; catch on
义务	(yìwù) duty; obligation
付出	(fù//chū) pay
