邮局	(yóujú) post office
请问	(qǐngwèn) polite excuse me; please ask;
附近	(fùjìn) nearby; in the vicinity
服务员	(fúwùyuán) service personnel
比较	(bǐjiào) comparitively, compare
远	(yuǎn) distant; far
最好	(zuìhǎo) had better; it would be best
路	(lù) route
公共汽车	(gōnggòngqìchē) bus
站	(zhàn) station; stop
往	(wǎng) in the direction of; towards
南	(nán) south
过	(guò) pass; cross
条	(tiáo) MW for things narrow and long
街	(jiē) street
东	(dōng) east
公园儿	(gōngyuán) park
对面	(duìmiàn) across from; in front of
寄	(jì) send; mail
窗口	(chuāngkuǒ) service window; window
挂号	(guàhào) register; send by registered mail
怕	(pà) fear; be afraid of something
丢	(diū) lose (something)
号	(hào) number
班	(bàn) do; manage; handle
小包	(xiǎobāo) small parcel
块	(kuài) dollar; buck
毛	(máo) dime
填	(tián) fill in (a form)
表	(biǎo) form; table
地址	(dìzhǐ) address
姓名	(xìngmíng) full name
信封	(xìnfēng) envelope
信纸	(xìnzhǐ) letter paper
邮票	(yóupiào) stamp
风景	(fēngjǐng) scenery; landscape
明信片	(míngxìnpiàn) postcard
旁边儿	(pángbiān) side; by the side of; nearby
柜台	(guìtái) counter
